R4157	R4157	1	1e-05	0.643089	0.28872
R4158	R4158	1	1e-05	0.627746	0.372234
R4163	R4163	1	1e-05	0.617869	0.382111
R4168	R4168	1	1e-05	1e-05	0.93874
R4171	R4171	1	1e-05	0.748713	0.245355
R4176	R4176	1	1e-05	0.668269	0.285129
R4177	R4177	1	1e-05	0.54341	0.27364
R4179	R4179	1	1e-05	0.789403	0.210577
R4180	R4180	1	1e-05	0.690399	0.292476
R4181	R4181	1	1e-05	0.156025	1e-05
R4182	R4182	1	1e-05	0.541231	1e-05
R4187	R4187	1	1e-05	0.538086	1e-05
R4191	R4191	1	0.200178	0.310515	1e-05
R4194	R4194	1	0.005825	0.54445	0.132553
R4199	R4199	1	1e-05	0.429988	0.55004
R4202	R4202	1	1e-05	0.740345	0.124161
R4210	R4210	1	1e-05	1e-05	0.898115
R4213	R4213	1	1e-05	0.221498	1e-05
R4215	R4215	1	1e-05	0.548559	0.029763
R4218	R4218	1	1e-05	0.370588	0.04249
R4219	R4219	1	1e-05	1e-05	0.903601
R4220	R4220	1	1e-05	0.43966	1e-05
R4222	R4222	1	1e-05	0.520749	1e-05
R4227	R4227	1	0.396523	0.116855	0.474102
R4229	R4229	1	0.176997	0.085042	0.737951
R4234	R4234	1	1.2e-05	0.59922	1e-05
R4236	R4236	1	1e-05	1e-05	0.99997
R4239	R4239	1	1.1e-05	1e-05	0.959875
R4245	R4245	1	0.007957	0.466519	0.206224
R4247	R4247	1	1e-05	1e-05	0.99997
R4252	R4252	1	1.2e-05	1e-05	0.999968
R4258	R4258	1	0.189137	1e-05	0.807528
R4260	R4260	1	1e-05	1e-05	0.99997
R4268	R4268	1	0.555296	1e-05	0.241194
R4272	R4272	1	1e-05	0.99997	1e-05
R4275	R4275	1	0.508055	0.006521	0.172916
R4281	R4281	1	1e-05	0.15533	0.732639
R4283	R4283	1	1e-05	0.65105	1e-05
R4284	R4284	1	1e-05	0.885091	0.113355
R4295	R4295	1	0.041954	0.355495	0.080725
R4298	R4298	1	1.4e-05	0.434113	1e-05
R4302	R4302	1	0.081612	0.062068	0.025779
R4310	R4310	1	1e-05	0.960068	1e-05
R4311	R4311	1	1.1e-05	1e-05	0.945355
R4314	R4314	1	1e-05	0.394054	0.105409
R4316	R4316	1	0.003802	0.173629	0.53452
R4324	R4324	1	1e-05	0.492535	0.507445
R4325	R4325	1	1e-05	0.788825	0.211155
R4330	R4330	1	1e-05	0.531917	1e-05
R4341	R4341	1	0.020101	0.161168	1e-05
R4342	R4342	1	1e-05	0.841946	0.087425
R4345	R4345	1	1e-05	0.85187	0.102665
R4349	R4349	1	1e-05	0.468379	0.401568
R4350	R4350	1	1e-05	0.620712	1e-05
R4353	R4353	1	1e-05	0.099675	0.695802
R4360	R4360	1	1e-05	0.684697	0.166248
R4365	R4365	1	0.066614	0.15798	0.756952
R4368	R4368	1	1e-05	0.697589	0.268343
R4373	R4373	1	1e-05	0.663832	0.100218
R4374	R4374	1	0.01214	0.773826	0.159011
R4376	R4376	1	1e-05	0.99997	1e-05
R4385	R4385	1	1e-05	0.43702	0.278758
R4386	R4386	1	1e-05	0.551847	0.266169
R4398	R4398	1	1e-05	0.975657	0.024323
R4405	R4405	1	0.075975	0.231462	0.692553
R4406	R4406	1	1e-05	0.87755	0.016928
R4413	R4413	1	0.018464	0.300184	0.643553
R4415	R4415	1	1e-05	0.897698	0.102282
R4420	R4420	1	0.019763	0.584928	0.395299
R4422	R4422	1	1.3e-05	1e-05	0.905013
R4431	R4431	1	0.016687	0.279121	0.095546
R4434	R4434	1	0.045612	0.221453	0.645197
R4437	R4437	1	1e-05	0.862496	0.086958
R4439	R4439	1	0.012426	0.602197	0.173165
R4440	R4440	1	1e-05	0.095812	0.904168
R4441	R4441	1	0.030879	0.857984	1e-05
R4450	R4450	1	1e-05	0.820668	0.179312
R4451	R4451	1	1.2e-05	0.962479	0.037499
R4452	R4452	1	1e-05	0.99997	1e-05
R4453	R4453	1	1e-05	0.638462	0.212027
R4455	R4455	1	1e-05	1e-05	0.99997
R4463	R4463	1	1e-05	0.876487	1e-05
R4464	R4464	1	1e-05	0.637477	1e-05
R4465	R4465	1	0.145596	0.164812	0.025213
R4469	R4469	1	0.025726	0.82406	1e-05
R4472	R4472	1	1e-05	0.826804	1e-05
R4473	R4473	1	1e-05	0.932393	1e-05
R4474	R4474	1	0.037158	1e-05	1e-05
R4480	R4480	1	0.021053	0.46839	0.352464
R4482	R4482	1	1e-05	0.854804	0.103669
R4484	R4484	1	1e-05	0.833626	0.156123
R4487	R4487	1	1e-05	0.404661	1e-05
R4489	R4489	1	1e-05	0.796755	0.05588
R4500	R4500	1	1e-05	0.75976	0.142418
R4502	R4502	1	1e-05	0.99997	1e-05
R4507	R4507	1	1e-05	0.930125	1e-05
R4508	R4508	1	1e-05	1e-05	0.99997
R4510	R4510	1	1e-05	0.879929	1e-05
R4514	R4514	1	1e-05	0.8078	0.17402
R4518	R4518	1	1e-05	0.724993	0.15306
R4523	R4523	1	1e-05	0.90236	0.07782
R4525	R4525	1	0.002201	0.88106	0.100928
R4531	R4531	1	0.010682	0.593316	0.097708
R4533	R4533	1	0.003827	0.962115	0.034047
R4543	R4543	1	1e-05	0.53631	1e-05
R4547	R4547	1	1e-05	0.861124	0.138856
R4558	R4558	1	1e-05	0.585317	0.133337
R4572	R4572	1	1e-05	0.609909	1e-05
R4576	R4576	1	0.009791	0.561221	0.130235
R4580	R4580	1	0.09403	0.013252	0.892708
R4583	R4583	1	0.003308	0.702759	0.121915
R4586	R4586	1	1e-05	0.51703	1e-05
R4592	R4592	1	0.557429	1e-05	0.189772
R4593	R4593	1	0.541021	1e-05	0.199547
R4596	R4596	1	1e-05	0.92699	0.051714
R4601	R4601	1	1e-05	0.928575	0.013857
R4618	R4618	1	1e-05	0.525447	0.276052
R4627	R4627	1	1e-05	0.881649	0.118331
R4628	R4628	1	1e-05	0.50182	1e-05
R4634	R4634	1	0.048124	0.220961	0.44995
R4635	R4635	1	1e-05	0.470842	0.190007
R4637	R4637	1	1e-05	0.658813	0.010333
R4638	R4638	1	1e-05	0.759974	0.240005
R4640	R4640	1	1.2e-05	0.924785	0.075193
R4641	R4641	1	1e-05	0.503607	0.366411
R4646	R4646	1	0.113124	0.366871	0.242281
R4647	R4647	1	1e-05	0.552156	1e-05
R4654	R4654	1	1e-05	0.453996	1e-05
R4655	R4655	1	1e-05	0.832455	0.167525
R4664	R4664	1	0.035911	0.380842	0.550048
R4665	R4665	1	0.00796	0.508787	0.407617
R4667	R4667	1	1e-05	0.572168	0.075259
R4678	R4678	1	0.079408	0.334597	0.534972
R4680	R4680	1	0.003372	0.796441	0.200178
R4684	R4684	1	1e-05	0.041465	0.020458
R4689	R4689	1	1e-05	0.432786	0.449826
R4690	R4690	1	0.053216	1e-05	0.021261
R4695	R4695	1	0.309653	1e-05	0.690327
R4696	R4696	1	0.109803	1e-05	1e-05
R4697	R4697	1	0.111082	0.149687	0.01473
R4698	R4698	1	0.168146	1e-05	0.831834
R4707	R4707	1	0.222206	0.257455	0.02103
R4713	R4713	1	0.022582	0.522442	1e-05
R4716	R4716	1	0.516992	1e-05	0.33626
R4718	R4718	1	0.926235	0.008674	0.038171
R4720	R4720	1	0.467758	0.02699	0.214008
R4722	R4722	1	1e-05	0.644834	0.355146
R4723	R4723	1	0.065906	0.187473	0.041035
R4725	R4725	1	0.548076	0.138063	1e-05
R4728	R4728	1	0.508351	1e-05	1e-05
R4731	R4731	1	0.99997	1e-05	1e-05
R4734	R4734	1	1e-05	0.308317	1e-05
R4737	R4737	1	1e-05	0.258433	0.364685
R4743	R4743	1	1e-05	0.379459	0.107742
R4747	R4747	1	0.009332	0.213025	0.230908
R4748	R4748	1	0.051781	0.002004	0.10809
R4749	R4749	1	0.202245	0.094417	0.272012
R4755	R4755	1	0.05519	1e-05	0.010732
R4756	R4756	1	0.282526	0.060042	0.285567
R4757	R4757	1	0.057009	1e-05	1e-05
R4758	R4758	1	0.04981	1e-05	0.084622
R4762	R4762	1	0.084195	1e-05	0.084143
R4763	R4763	1	0.042154	0.08812	0.149314
R4766	R4766	1	0.380525	1e-05	0.132499
R4767	R4767	1	0.154237	1e-05	0.037899
R4773	R4773	1	1e-05	0.435481	0.551908
R4775	R4775	1	0.040484	0.061201	0.898305
R4776	R4776	1	1e-05	0.583817	0.416163
R4779	R4779	1	1e-05	0.764185	0.235795
R4783	R4783	1	1e-05	0.47159	0.47282
R4784	R4784	1	1e-05	0.602727	0.397253
R4786	R4786	1	1.7e-05	0.48328	0.516694
R4792	R4792	1	0.008218	0.540275	0.289668
R4794	R4794	1	1e-05	0.670412	0.195566
R4795	R4795	1	1e-05	0.636096	0.355258
R4796	R4796	1	1e-05	0.703571	0.296409
R4797	R4797	1	1e-05	0.532881	0.467099
R4798	R4798	1	1e-05	0.234203	0.765777
R4801	R4801	1	1e-05	0.580021	0.419959
R4804	R4804	1	1e-05	0.340153	1e-05
R4810	R4810	1	1e-05	0.502736	0.497244
R4812	R4812	1	2e-05	0.603561	0.396409
R4815	R4815	1	1e-05	0.432686	1e-05
R4817	R4817	1	1e-05	0.538357	0.461623
R4822	R4822	1	0.008828	0.136936	1e-05
R4825	R4825	1	1e-05	0.264145	1e-05
R4835	R4835	1	1e-05	0.651515	0.134886
R4839	R4839	1	0.010693	0.594378	0.054062
R4843	R4843	1	1e-05	0.71114	0.28884
R4845	R4845	1	1e-05	0.548756	0.356384
R4849	R4849	1	1e-05	0.667394	1e-05
R4855	R4855	1	0.525703	1e-05	0.22605
R4859	R4859	1	0.52827	1e-05	0.191846
R4861	R4861	1	1.3e-05	0.275907	1e-05
R4862	R4862	1	0.175272	1e-05	0.397985
R4868	R4868	1	0.034073	0.055542	1e-05
R4870	R4870	1	1e-05	0.615766	1e-05
R4873	R4873	1	1e-05	0.99997	1e-05
R4875	R4875	1	0.03045	1e-05	0.034724
R4877	R4877	1	0.069336	1e-05	0.087595
R4878	R4878	1	1e-05	0.093245	0.906735
R4879	R4879	1	0.011623	1e-05	0.065661
R4880	R4880	1	0.064012	0.773081	0.016162
R4887	R4887	1	1e-05	0.192105	1e-05
R4888	R4888	1	0.121449	0.114323	0.019582
R4894	R4894	1	0.852514	1e-05	0.115611
R4897	R4897	1	0.031253	1e-05	0.928645
R4900	R4900	1	0.549225	1e-05	0.253432
R4904	R4904	1	1e-05	0.548493	0.235101
R4905	R4905	1	0.035728	0.408439	0.258553
R4906	R4906	1	1e-05	0.069816	0.899724
R4907	R4907	1	1e-05	0.013171	0.940251
R4910	R4910	1	1.7e-05	0.519157	1e-05
R4914	R4914	1	1e-05	0.468772	0.056723
R4917	R4917	1	1e-05	0.586792	0.074581
R4920	R4920	1	1e-05	0.453979	0.241169
R4921	R4921	1	0.011063	0.475338	0.053751
R4924	R4924	1	0.019658	0.483568	0.265671
R4938	R4938	1	1e-05	0.077873	0.922107
R4942	R4942	1	1e-05	0.066439	0.933541
R4944	R4944	1	1e-05	0.619925	0.030474
R4945	R4945	1	1e-05	0.080541	0.794806
R4950	R4950	1	1e-05	0.231234	1e-05
R4955	R4955	1	1e-05	1e-05	0.996881
R4959	R4959	1	1e-05	0.517357	0.041559
