R4157	R4157	1	0.706307	1e-05	1e-05	0.121206
R4158	R4158	1	0.466058	1e-05	0.105749	0.428174
R4163	R4163	1	0.447003	1e-05	0.192799	0.360178
R4168	R4168	1	1e-05	0.003104	0.996708	1e-05
R4171	R4171	1	0.434395	1e-05	0.069009	0.430974
R4176	R4176	1	0.510278	1e-05	0.116046	0.220345
R4177	R4177	1	0.373813	1e-05	0.120578	0.216535
R4179	R4179	1	0.30559	1e-05	0.034292	0.660098
R4180	R4180	1	0.43801	1e-05	0.047384	0.405646
R4181	R4181	1	1e-05	0.066289	0.053003	1e-05
R4182	R4182	1	1e-05	1.9e-05	1e-05	0.211351
R4187	R4187	1	0.042156	0.049837	1e-05	0.201156
R4191	R4191	1	0.004823	0.440763	1e-05	0.059136
R4194	R4194	1	0.309393	0.044022	0.067194	0.162568
R4199	R4199	1	0.649415	1e-05	0.273234	0.077331
R4202	R4202	1	0.304524	1e-05	0.039333	0.355279
R4210	R4210	1	0.035766	0.020252	0.925784	1e-05
R4213	R4213	1	1e-05	0.079073	0.025348	0.091589
R4215	R4215	1	0.143885	0.029086	0.020028	0.202551
R4218	R4218	1	1e-05	0.040059	0.084896	0.168258
R4219	R4219	1	1e-05	1e-05	0.95842	1e-05
R4220	R4220	1	1.1e-05	0.013223	1e-05	0.184795
R4222	R4222	1	1e-05	1e-05	1e-05	0.186682
R4227	R4227	1	0.086086	0.428289	0.392862	0.079479
R4229	R4229	1	0.046669	0.256504	0.696807	1e-05
R4234	R4234	1	1e-05	1.2e-05	1e-05	0.277809
R4236	R4236	1	1e-05	1e-05	0.99996	1e-05
R4239	R4239	1	1e-05	1e-05	0.99996	1e-05
R4245	R4245	1	0.248507	0.080487	0.087611	0.209558
R4247	R4247	1	1e-05	1e-05	0.99996	1e-05
R4252	R4252	1	1e-05	1e-05	0.99996	1e-05
R4258	R4258	1	0.007798	0.172546	0.81064	1e-05
R4260	R4260	1	0.134642	1e-05	0.865328	1e-05
R4272	R4272	1	1e-05	1e-05	1e-05	0.834081
R4281	R4281	1	1e-05	1e-05	0.756158	0.074893
R4283	R4283	1	1e-05	1e-05	1e-05	0.316935
R4284	R4284	1	0.053963	1e-05	0.060457	0.798219
R4295	R4295	1	0.136372	0.052667	0.031824	0.162181
R4298	R4298	1	1e-05	1e-05	1e-05	0.180482
R4302	R4302	1	1e-05	0.110955	0.056441	0.072605
R4310	R4310	1	1e-05	1e-05	1e-05	0.873936
R4311	R4311	1	1e-05	1e-05	0.975035	1e-05
R4314	R4314	1	1e-05	1e-05	0.150118	0.190091
R4316	R4316	1	1e-05	1e-05	0.530807	0.087
R4324	R4324	1	0.185491	1e-05	0.411085	0.403404
